home_loc_cd,trv_idx,age_cd,loc_type,home_loc_nm,sex_cd,yw,id_cnt,date
28,0.09017531232327387,30,sido,인천광역시,2,202206,77804,2022-02-05T00:00:00+09:00
28,0.08606249009979408,50,sido,인천광역시,2,202206,101008,2022-02-05T00:00:00+09:00
28,0.08705539358600584,40,sido,인천광역시,2,202206,102900,2022-02-05T00:00:00+09:00
28,0.1145034493823199,20,sido,인천광역시,2,202206,62330,2022-02-05T00:00:00+09:00
29,0.07513463811900696,0,sido,광주광역시,2,202206,7613,2022-02-05T00:00:00+09:00
29,0.09635502041546211,10,sido,광주광역시,2,202206,33553,2022-02-05T00:00:00+09:00
29,0.1258011353232009,30,sido,광주광역시,2,202206,43688,2022-02-05T00:00:00+09:00
29,0.10698106632593797,40,sido,광주광역시,2,202206,60263,2022-02-05T00:00:00+09:00
29,0.0819086751290141,60,sido,광주광역시,2,202206,40887,2022-02-05T00:00:00+09:00
29,0.10596125464701377,50,sido,광주광역시,2,202206,53529,2022-02-05T00:00:00+09:00
29,0.0450923070762084,70,sido,광주광역시,2,202206,24971,2022-02-05T00:00:00+09:00
29,0.16594179429047332,20,sido,광주광역시,2,202206,43226,2022-02-05T00:00:00+09:00
30,0.11557451099859235,40,sido,대전광역시,2,202206,47597,2022-02-05T00:00:00+09:00
30,0.06699284907790741,0,sido,대전광역시,2,202206,5314,2022-02-05T00:00:00+09:00
30,0.1961799357372367,20,sido,대전광역시,2,202206,33612,2022-02-05T00:00:00+09:00
30,0.09472882140038642,60,sido,대전광역시,2,202206,36747,2022-02-05T00:00:00+09:00
30,0.04941729605361877,70,sido,대전광역시,2,202206,19993,2022-02-05T00:00:00+09:00
30,0.102939426395335,10,sido,대전광역시,2,202206,25209,2022-02-05T00:00:00+09:00
30,0.13453408235362252,30,sido,대전광역시,2,202206,34534,2022-02-05T00:00:00+09:00
30,0.12764535017750933,50,sido,대전광역시,2,202206,43378,2022-02-05T00:00:00+09:00
31,0.08861471861471862,50,sido,울산광역시,2,202206,46200,2022-02-05T00:00:00+09:00
31,0.051486988847583647,0,sido,울산광역시,2,202206,5380,2022-02-05T00:00:00+09:00
31,0.06380846006243378,60,sido,울산광역시,2,202206,34917,2022-02-05T00:00:00+09:00
31,0.12704954753158318,20,sido,울산광역시,2,202206,22322,2022-02-05T00:00:00+09:00
31,0.08120961658302994,30,sido,울산광역시,2,202206,30489,2022-02-05T00:00:00+09:00
31,0.0346659402029558,70,sido,울산광역시,2,202206,14683,2022-02-05T00:00:00+09:00
31,0.07689292631190629,40,sido,울산광역시,2,202206,43372,2022-02-05T00:00:00+09:00
31,0.06307064976509175,10,sido,울산광역시,2,202206,22562,2022-02-05T00:00:00+09:00
36,0.17026996751428253,50,sido,세종특별자치시,2,202206,8927,2022-02-05T00:00:00+09:00
36,0.18257358080298206,30,sido,세종특별자치시,2,202206,12877,2022-02-05T00:00:00+09:00
36,0.15976294054599333,40,sido,세종특별자치시,2,202206,15861,2022-02-05T00:00:00+09:00
36,0.12448004929902942,60,sido,세종특별자치시,2,202206,6491,2022-02-05T00:00:00+09:00
36,0.09591258599757184,0,sido,세종특별자치시,2,202206,2471,2022-02-05T00:00:00+09:00
36,0.11806187443130119,10,sido,세종특별자치시,2,202206,8792,2022-02-05T00:00:00+09:00
36,0.23740671641791045,20,sido,세종특별자치시,2,202206,6432,2022-02-05T00:00:00+09:00
36,0.07965517241379311,70,sido,세종특별자치시,2,202206,2900,2022-02-05T00:00:00+09:00
41,0.11725737114680132,20,sido,경기도,2,202206,286353,2022-02-05T00:00:00+09:00
41,0.07997023566032811,10,sido,경기도,2,202206,256683,2022-02-05T00:00:00+09:00
41,0.09550403203746458,50,sido,경기도,2,202206,456965,2022-02-05T00:00:00+09:00
41,0.09719797232786678,30,sido,경기도,2,202206,379154,2022-02-05T00:00:00+09:00
41,0.0967683116913672,40,sido,경기도,2,202206,510043,2022-02-05T00:00:00+09:00
41,0.07399680597417788,60,sido,경기도,2,202206,355664,2022-02-05T00:00:00+09:00
41,0.08082584457380018,0,sido,경기도,2,202206,56863,2022-02-05T00:00:00+09:00
41,0.037370931647756275,70,sido,경기도,2,202206,203768,2022-02-05T00:00:00+09:00
42,0.15268245136660846,50,sido,강원도,2,202206,49246,2022-02-05T00:00:00+09:00
42,0.23936525393770375,20,sido,강원도,2,202206,25459,2022-02-05T00:00:00+09:00
42,0.1157969294383399,60,sido,강원도,2,202206,52238,2022-02-05T00:00:00+09:00
42,0.1770979511647488,30,sido,강원도,2,202206,32067,2022-02-05T00:00:00+09:00
42,0.05906553978631797,70,sido,강원도,2,202206,31355,2022-02-05T00:00:00+09:00
42,0.1523552709193562,40,sido,강원도,2,202206,47468,2022-02-05T00:00:00+09:00
42,0.10776361529548088,0,sido,강원도,2,202206,6041,2022-02-05T00:00:00+09:00
42,0.14157762413576366,10,sido,강원도,2,202206,25456,2022-02-05T00:00:00+09:00
43,0.13950025769752036,50,sido,충청북도,2,202206,52387,2022-02-05T00:00:00+09:00
43,0.10796613311909029,60,sido,충청북도,2,202206,48543,2022-02-05T00:00:00+09:00
43,0.20822462822854163,20,sido,충청북도,2,202206,30664,2022-02-05T00:00:00+09:00
43,0.054891528345011056,70,sido,충청북도,2,202206,26689,2022-02-05T00:00:00+09:00
43,0.10425531914893617,0,sido,충청북도,2,202206,7520,2022-02-05T00:00:00+09:00
43,0.1354394382000735,40,sido,충청북도,2,202206,51691,2022-02-05T00:00:00+09:00
43,0.15623535537620412,30,sido,충청북도,2,202206,38410,2022-02-05T00:00:00+09:00
43,0.11412012644889358,10,sido,충청북도,2,202206,28470,2022-02-05T00:00:00+09:00
44,0.11571254567600488,10,sido,충청남도,2,202206,39408,2022-02-05T00:00:00+09:00
44,0.10471001075667001,60,sido,충청남도,2,202206,56709,2022-02-05T00:00:00+09:00
44,0.13173575959505351,50,sido,충청남도,2,202206,62428,2022-02-05T00:00:00+09:00
44,0.10527421727253625,0,sido,충청남도,2,202206,9518,2022-02-05T00:00:00+09:00
44,0.20082361749919778,20,sido,충청남도,2,202206,37396,2022-02-05T00:00:00+09:00
44,0.14733798012753968,30,sido,충청남도,2,202206,53944,2022-02-05T00:00:00+09:00
44,0.1308913204536388,40,sido,충청남도,2,202206,70188,2022-02-05T00:00:00+09:00
44,0.060060412328807294,70,sido,충청남도,2,202206,34099,2022-02-05T00:00:00+09:00
45,0.12654672858215388,30,sido,전라북도,2,202206,35963,2022-02-05T00:00:00+09:00
45,0.10911545239791519,40,sido,전라북도,2,202206,53338,2022-02-05T00:00:00+09:00
45,0.11670251997541488,50,sido,전라북도,2,202206,52064,2022-02-05T00:00:00+09:00
45,0.09103146558976948,10,sido,전라북도,2,202206,29715,2022-02-05T00:00:00+09:00
45,0.18500967763465262,20,sido,전라북도,2,202206,29966,2022-02-05T00:00:00+09:00
45,0.07652596416641361,0,sido,전라북도,2,202206,6586,2022-02-05T00:00:00+09:00
45,0.08713342243887098,60,sido,전라북도,2,202206,50876,2022-02-05T00:00:00+09:00
45,0.04632574605194015,70,sido,전라북도,2,202206,36157,2022-02-05T00:00:00+09:00
